"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Experimental estimates for business openings and closures for Canada, provinces and territories, census metropolitan areas, seasonally adjusted","33100270",,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3310027001",5;6,"CURRENT - a cube available to the public and that is current","Monthly","2015-01-01","2025-12-01","3",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",,""
"2","Industry",,""
"3","Business dynamics measure",,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"1","Canada","[11124]","1","","",,
"1","Newfoundland and Labrador ","[10]","2","1","",,
"1","St. John's, Newfoundland and Labrador ","[001]","3","2","",,
"1","Prince Edward Island ","[11]","4","1","",,
"1","Nova Scotia ","[12]","5","1","",,
"1","Halifax, Nova Scotia ","[205]","6","5","",,
"1","New Brunswick ","[13]","7","1","",,
"1","Moncton, New Brunswick ","[305]","8","7","",,
"1","Saint John, New Brunswick ","[310]","9","7","",,
"1","Quebec ","[24]","10","1","",,
"1","Montréal, Quebec ","[462]","11","10","",,
"1","Québec, Quebec ","[421]","12","10","",,
"1","Saguenay, Quebec ","[408]","13","10","",,
"1","Sherbrooke, Quebec ","[433]","14","10","",,
"1","Trois-Rivières, Quebec ","[442]","15","10","",,
"1","Ontario ","[35]","16","1","",,
"1","Ottawa - Gatineau, Ontario/Quebec","[505]","17","16","",,
"1","Barrie, Ontario ","[568]","18","16","",,
"1","Belleville, Ontario ","[522]","19","16","",,
"1","Brantford, Ontario ","[543]","20","16","",,
"1","Greater Sudbury, Ontario ","[580]","21","16","",,
"1","Guelph, Ontario ","[550]","22","16","",,
"1","Hamilton, Ontario ","[537]","23","16","",,
"1","Kingston, Ontario ","[521]","24","16","",,
"1","Kitchener - Cambridge - Waterloo, Ontario ","[541]","25","16","",,
"1","London, Ontario ","[555]","26","16","",,
"1","Oshawa, Ontario ","[532]","27","16","",,
"1","Peterborough, Ontario ","[529]","28","16","",,
"1","St. Catharines - Niagara, Ontario ","[539]","29","16","",,
"1","Thunder Bay, Ontario ","[595]","30","16","",,
"1","Toronto, Ontario ","[535]","31","16","",,
"1","Windsor, Ontario ","[559]","32","16","",,
"1","Manitoba ","[46]","33","1","",,
