region,month,year,opening,closing,net,closure_to_opening_ratio,status_opening,status_closing,data_available
Alberta,2024-01,2024,6750.0,6181.0,569.0,0.9157037037037037,,,1
Alberta,2024-02,2024,6382.0,6208.0,174.0,0.9727358194923221,,,1
Alberta,2024-03,2024,6110.0,6255.0,-145.0,1.0237315875613748,,,1
Alberta,2025-01,2025,6624.0,6519.0,105.0,0.9841485507246377,,,1
Alberta,2025-02,2025,6521.0,6374.0,147.0,0.9774574451771201,,,1
Alberta,2025-03,2025,6689.0,6431.0,258.0,0.9614292121393332,,,1
British Columbia,2024-01,2024,7695.0,7433.0,262.0,0.9659519168291099,,,1
British Columbia,2024-02,2024,7676.0,7591.0,85.0,0.9889265242313705,,,1
British Columbia,2024-03,2024,7536.0,7557.0,-21.0,1.0027866242038217,,,1
British Columbia,2025-01,2025,8064.0,7632.0,432.0,0.9464285714285714,,,1
British Columbia,2025-02,2025,7540.0,7374.0,166.0,0.9779840848806366,,,1
British Columbia,2025-03,2025,7503.0,7509.0,-6.0,1.0007996801279488,,,1
Manitoba,2024-01,2024,1237.0,1219.0,18.0,0.9854486661277284,,,1
Manitoba,2024-02,2024,1262.0,1268.0,-6.0,1.0047543581616483,,,1
Manitoba,2024-03,2024,1248.0,1293.0,-45.0,1.0360576923076923,,,1
Manitoba,2025-01,2025,1283.0,1264.0,19.0,0.9851909586905689,,,1
Manitoba,2025-02,2025,1236.0,1207.0,29.0,0.9765372168284789,,,1
Manitoba,2025-03,2025,1282.0,1191.0,91.0,0.9290171606864275,,,1
New Brunswick,2024-01,2024,721.0,737.0,-16.0,1.0221914008321775,,,1
New Brunswick,2024-02,2024,747.0,721.0,26.0,0.965194109772423,,,1
New Brunswick,2024-03,2024,730.0,722.0,8.0,0.989041095890411,,,1
New Brunswick,2025-01,2025,737.0,726.0,11.0,0.9850746268656716,,,1
New Brunswick,2025-02,2025,730.0,749.0,-19.0,1.026027397260274,,,1
New Brunswick,2025-03,2025,741.0,716.0,25.0,0.9662618083670715,,,1
Newfoundland and Labrador,2024-01,2024,676.0,582.0,94.0,0.8609467455621301,,,1
Newfoundland and Labrador,2024-02,2024,605.0,589.0,16.0,0.9735537190082645,,,1
Newfoundland and Labrador,2024-03,2024,617.0,541.0,76.0,0.8768233387358185,,,1
Newfoundland and Labrador,2025-01,2025,623.0,640.0,-17.0,1.0272873194221508,,,1
Newfoundland and Labrador,2025-02,2025,615.0,657.0,-42.0,1.0682926829268293,,,1
Newfoundland and Labrador,2025-03,2025,677.0,615.0,62.0,0.9084194977843427,,,1
Northwest Territories,2024-01,2024,49.0,48.0,1.0,0.9795918367346939,,,1
Northwest Territories,2024-02,2024,37.0,43.0,-6.0,1.162162162162162,,,1
Northwest Territories,2024-03,2024,45.0,44.0,1.0,0.9777777777777777,,,1
Northwest Territories,2025-01,2025,35.0,45.0,-10.0,1.2857142857142858,,,1
Northwest Territories,2025-02,2025,54.0,41.0,13.0,0.7592592592592593,,,1
Northwest Territories,2025-03,2025,46.0,49.0,-3.0,1.065217391304348,,,1
Nova Scotia,2024-01,2024,1034.0,923.0,111.0,0.8926499032882012,,,1
Nova Scotia,2024-02,2024,988.0,925.0,63.0,0.9362348178137652,,,1
Nova Scotia,2024-03,2024,959.0,926.0,33.0,0.9655891553701773,,,1
Nova Scotia,2025-01,2025,935.0,932.0,3.0,0.9967914438502674,,,1
Nova Scotia,2025-02,2025,967.0,1056.0,-89.0,1.092037228541882,,,1
Nova Scotia,2025-03,2025,975.0,967.0,8.0,0.9917948717948718,,,1
Nunavut,2024-01,2024,,,,,x,x,0
Nunavut,2024-02,2024,,,,,x,x,0
Nunavut,2024-03,2024,,,,,x,x,0
Nunavut,2025-01,2025,,,,,x,x,0
Nunavut,2025-02,2025,,,,,x,x,0
Nunavut,2025-03,2025,,,,,x,x,0
Ontario,2024-01,2024,18879.0,17912.0,967.0,0.9487790666878543,,,1
Ontario,2024-02,2024,18308.0,18142.0,166.0,0.9909329254970505,,,1
Ontario,2024-03,2024,18010.0,17884.0,126.0,0.9930038867295947,,,1
Ontario,2025-01,2025,18562.0,19172.0,-610.0,1.032862838056244,,,1
Ontario,2025-02,2025,18602.0,18502.0,100.0,0.9946242339533383,,,1
Ontario,2025-03,2025,18521.0,18946.0,-425.0,1.0229469251120349,,,1
Prince Edward Island,2024-01,2024,234.0,233.0,1.0,0.9957264957264957,,,1
Prince Edward Island,2024-02,2024,212.0,218.0,-6.0,1.028301886792453,,,1
Prince Edward Island,2024-03,2024,226.0,209.0,17.0,0.9247787610619469,,,1
Prince Edward Island,2025-01,2025,210.0,219.0,-9.0,1.042857142857143,,,1
Prince Edward Island,2025-02,2025,221.0,225.0,-4.0,1.0180995475113122,,,1
Prince Edward Island,2025-03,2025,219.0,246.0,-27.0,1.1232876712328768,,,1
Quebec,2024-01,2024,7336.0,6932.0,404.0,0.9449291166848419,,,1
Quebec,2024-02,2024,7237.0,7039.0,198.0,0.9726405969324305,,,1
Quebec,2024-03,2024,7141.0,6978.0,163.0,0.9771740652569668,,,1
Quebec,2025-01,2025,7189.0,6736.0,453.0,0.936987063569342,,,1
Quebec,2025-02,2025,7062.0,7033.0,29.0,0.9958935145851033,,,1
Quebec,2025-03,2025,7006.0,7173.0,-167.0,1.023836711390237,,,1
Saskatchewan,2024-01,2024,1253.0,1141.0,112.0,0.9106145251396648,,,1
Saskatchewan,2024-02,2024,1175.0,1103.0,72.0,0.9387234042553192,,,1
Saskatchewan,2024-03,2024,1151.0,1129.0,22.0,0.9808861859252823,,,1
Saskatchewan,2025-01,2025,1155.0,1127.0,28.0,0.9757575757575757,,,1
Saskatchewan,2025-02,2025,1087.0,1171.0,-84.0,1.0772769089236431,,,1
Saskatchewan,2025-03,2025,1154.0,1159.0,-5.0,1.0043327556325823,,,1
Yukon,2024-01,2024,75.0,79.0,-4.0,1.0533333333333332,,,1
Yukon,2024-02,2024,66.0,61.0,5.0,0.9242424242424242,,,1
Yukon,2024-03,2024,77.0,52.0,25.0,0.6753246753246753,,,1
Yukon,2025-01,2025,72.0,70.0,2.0,0.9722222222222222,,,1
