month,year,month_num,month_name,quarter_label,year_quarter
2015-01,2015,1,January,Q1,2015-Q1
2015-02,2015,2,February,Q1,2015-Q1
2015-03,2015,3,March,Q1,2015-Q1
2015-04,2015,4,April,Q2,2015-Q2
2015-05,2015,5,May,Q2,2015-Q2
2015-06,2015,6,June,Q2,2015-Q2
2015-07,2015,7,July,Q3,2015-Q3
2015-08,2015,8,August,Q3,2015-Q3
2015-09,2015,9,September,Q3,2015-Q3
2015-10,2015,10,October,Q4,2015-Q4
2015-11,2015,11,November,Q4,2015-Q4
2015-12,2015,12,December,Q4,2015-Q4
2016-01,2016,1,January,Q1,2016-Q1
2016-02,2016,2,February,Q1,2016-Q1
2016-03,2016,3,March,Q1,2016-Q1
2016-04,2016,4,April,Q2,2016-Q2
2016-05,2016,5,May,Q2,2016-Q2
2016-06,2016,6,June,Q2,2016-Q2
2016-07,2016,7,July,Q3,2016-Q3
2016-08,2016,8,August,Q3,2016-Q3
2016-09,2016,9,September,Q3,2016-Q3
2016-10,2016,10,October,Q4,2016-Q4
2016-11,2016,11,November,Q4,2016-Q4
2016-12,2016,12,December,Q4,2016-Q4
2017-01,2017,1,January,Q1,2017-Q1
2017-02,2017,2,February,Q1,2017-Q1
2017-03,2017,3,March,Q1,2017-Q1
2017-04,2017,4,April,Q2,2017-Q2
2017-05,2017,5,May,Q2,2017-Q2
2017-06,2017,6,June,Q2,2017-Q2
2017-07,2017,7,July,Q3,2017-Q3
2017-08,2017,8,August,Q3,2017-Q3
2017-09,2017,9,September,Q3,2017-Q3
2017-10,2017,10,October,Q4,2017-Q4
2017-11,2017,11,November,Q4,2017-Q4
2017-12,2017,12,December,Q4,2017-Q4
2018-01,2018,1,January,Q1,2018-Q1
2018-02,2018,2,February,Q1,2018-Q1
2018-03,2018,3,March,Q1,2018-Q1
2018-04,2018,4,April,Q2,2018-Q2
2018-05,2018,5,May,Q2,2018-Q2
2018-06,2018,6,June,Q2,2018-Q2
2018-07,2018,7,July,Q3,2018-Q3
2018-08,2018,8,August,Q3,2018-Q3
2018-09,2018,9,September,Q3,2018-Q3
2018-10,2018,10,October,Q4,2018-Q4
2018-11,2018,11,November,Q4,2018-Q4
2018-12,2018,12,December,Q4,2018-Q4
2019-01,2019,1,January,Q1,2019-Q1
2019-02,2019,2,February,Q1,2019-Q1
2019-03,2019,3,March,Q1,2019-Q1
2019-04,2019,4,April,Q2,2019-Q2
2019-05,2019,5,May,Q2,2019-Q2
2019-06,2019,6,June,Q2,2019-Q2
2019-07,2019,7,July,Q3,2019-Q3
2019-08,2019,8,August,Q3,2019-Q3
2019-09,2019,9,September,Q3,2019-Q3
2019-10,2019,10,October,Q4,2019-Q4
2019-11,2019,11,November,Q4,2019-Q4
2019-12,2019,12,December,Q4,2019-Q4
2020-01,2020,1,January,Q1,2020-Q1
2020-02,2020,2,February,Q1,2020-Q1
2020-03,2020,3,March,Q1,2020-Q1
2020-04,2020,4,April,Q2,2020-Q2
