month,year,month_num,quarter_label,year_quarter,region,region_abbr,region_group,geo_level,industry,measure,value,status,data_available
2015-01,2015,1,Q1,2015-Q1,Canada,CA,National,National,Business sector industries [T004],Active businesses,870057.0,,1
2015-01,2015,1,Q1,2015-Q1,Canada,CA,National,National,Business sector industries [T004],Opening businesses,42407.0,,1
2015-01,2015,1,Q1,2015-Q1,Canada,CA,National,National,Business sector industries [T004],Continuing businesses,820997.0,,1
2015-01,2015,1,Q1,2015-Q1,Canada,CA,National,National,Business sector industries [T004],Closing businesses,36134.0,,1
2015-01,2015,1,Q1,2015-Q1,Canada,CA,National,National,Business sector industries [T004],Reopening businesses,24803.0,,1
2015-01,2015,1,Q1,2015-Q1,Canada,CA,National,National,Business sector industries [T004],Entrants,17604.0,,1
2015-01,2015,1,Q1,2015-Q1,Canada,CA,National,National,Business sector industries [T004],Temporary closures,22928.0,,1
2015-01,2015,1,Q1,2015-Q1,Canada,CA,National,National,Business sector industries [T004],Exits,13206.0,,1
2015-01,2015,1,Q1,2015-Q1,Newfoundland and Labrador,NL,Atlantic,Province/Territory,Business sector industries [T004],Active businesses,14333.0,,1
2015-01,2015,1,Q1,2015-Q1,Newfoundland and Labrador,NL,Atlantic,Province/Territory,Business sector industries [T004],Opening businesses,747.0,,1
2015-01,2015,1,Q1,2015-Q1,Newfoundland and Labrador,NL,Atlantic,Province/Territory,Business sector industries [T004],Continuing businesses,13591.0,,1
2015-01,2015,1,Q1,2015-Q1,Newfoundland and Labrador,NL,Atlantic,Province/Territory,Business sector industries [T004],Closing businesses,696.0,,1
2015-01,2015,1,Q1,2015-Q1,Newfoundland and Labrador,NL,Atlantic,Province/Territory,Business sector industries [T004],Reopening businesses,435.0,,1
2015-01,2015,1,Q1,2015-Q1,Newfoundland and Labrador,NL,Atlantic,Province/Territory,Business sector industries [T004],Entrants,312.0,,1
2015-01,2015,1,Q1,2015-Q1,Newfoundland and Labrador,NL,Atlantic,Province/Territory,Business sector industries [T004],Temporary closures,427.0,,1
2015-01,2015,1,Q1,2015-Q1,Newfoundland and Labrador,NL,Atlantic,Province/Territory,Business sector industries [T004],Exits,269.0,,1
2015-01,2015,1,Q1,2015-Q1,Prince Edward Island,PE,Atlantic,Province/Territory,Business sector industries [T004],Active businesses,3503.0,,1
2015-01,2015,1,Q1,2015-Q1,Prince Edward Island,PE,Atlantic,Province/Territory,Business sector industries [T004],Opening businesses,206.0,,1
2015-01,2015,1,Q1,2015-Q1,Prince Edward Island,PE,Atlantic,Province/Territory,Business sector industries [T004],Continuing businesses,3301.0,,1
2015-01,2015,1,Q1,2015-Q1,Prince Edward Island,PE,Atlantic,Province/Territory,Business sector industries [T004],Closing businesses,177.0,,1
2015-01,2015,1,Q1,2015-Q1,Prince Edward Island,PE,Atlantic,Province/Territory,Business sector industries [T004],Reopening businesses,140.0,,1
2015-01,2015,1,Q1,2015-Q1,Prince Edward Island,PE,Atlantic,Province/Territory,Business sector industries [T004],Entrants,66.0,,1
2015-01,2015,1,Q1,2015-Q1,Prince Edward Island,PE,Atlantic,Province/Territory,Business sector industries [T004],Temporary closures,124.0,,1
2015-01,2015,1,Q1,2015-Q1,Prince Edward Island,PE,Atlantic,Province/Territory,Business sector industries [T004],Exits,53.0,,1
2015-01,2015,1,Q1,2015-Q1,Nova Scotia,NS,Atlantic,Province/Territory,Business sector industries [T004],Active businesses,19685.0,,1
2015-01,2015,1,Q1,2015-Q1,Nova Scotia,NS,Atlantic,Province/Territory,Business sector industries [T004],Opening businesses,883.0,,1
2015-01,2015,1,Q1,2015-Q1,Nova Scotia,NS,Atlantic,Province/Territory,Business sector industries [T004],Continuing businesses,18813.0,,1
2015-01,2015,1,Q1,2015-Q1,Nova Scotia,NS,Atlantic,Province/Territory,Business sector industries [T004],Closing businesses,842.0,,1
2015-01,2015,1,Q1,2015-Q1,Nova Scotia,NS,Atlantic,Province/Territory,Business sector industries [T004],Reopening businesses,544.0,,1
2015-01,2015,1,Q1,2015-Q1,Nova Scotia,NS,Atlantic,Province/Territory,Business sector industries [T004],Entrants,339.0,,1
2015-01,2015,1,Q1,2015-Q1,Nova Scotia,NS,Atlantic,Province/Territory,Business sector industries [T004],Temporary closures,524.0,,1
2015-01,2015,1,Q1,2015-Q1,Nova Scotia,NS,Atlantic,Province/Territory,Business sector industries [T004],Exits,318.0,,1
2015-01,2015,1,Q1,2015-Q1,New Brunswick,NB,Atlantic,Province/Territory,Business sector industries [T004],Active businesses,17294.0,,1
2015-01,2015,1,Q1,2015-Q1,New Brunswick,NB,Atlantic,Province/Territory,Business sector industries [T004],Opening businesses,758.0,,1
2015-01,2015,1,Q1,2015-Q1,New Brunswick,NB,Atlantic,Province/Territory,Business sector industries [T004],Continuing businesses,16538.0,,1
2015-01,2015,1,Q1,2015-Q1,New Brunswick,NB,Atlantic,Province/Territory,Business sector industries [T004],Closing businesses,746.0,,1
2015-01,2015,1,Q1,2015-Q1,New Brunswick,NB,Atlantic,Province/Territory,Business sector industries [T004],Reopening businesses,494.0,,1
2015-01,2015,1,Q1,2015-Q1,New Brunswick,NB,Atlantic,Province/Territory,Business sector industries [T004],Entrants,264.0,,1
2015-01,2015,1,Q1,2015-Q1,New Brunswick,NB,Atlantic,Province/Territory,Business sector industries [T004],Temporary closures,487.0,,1
2015-01,2015,1,Q1,2015-Q1,New Brunswick,NB,Atlantic,Province/Territory,Business sector industries [T004],Exits,259.0,,1
2015-01,2015,1,Q1,2015-Q1,Quebec,QC,Central,Province/Territory,Business sector industries [T004],Active businesses,186286.0,,1
2015-01,2015,1,Q1,2015-Q1,Quebec,QC,Central,Province/Territory,Business sector industries [T004],Opening businesses,7348.0,,1
2015-01,2015,1,Q1,2015-Q1,Quebec,QC,Central,Province/Territory,Business sector industries [T004],Continuing businesses,179211.0,,1
2015-01,2015,1,Q1,2015-Q1,Quebec,QC,Central,Province/Territory,Business sector industries [T004],Closing businesses,6491.0,,1
2015-01,2015,1,Q1,2015-Q1,Quebec,QC,Central,Province/Territory,Business sector industries [T004],Reopening businesses,4375.0,,1
2015-01,2015,1,Q1,2015-Q1,Quebec,QC,Central,Province/Territory,Business sector industries [T004],Entrants,2973.0,,1
2015-01,2015,1,Q1,2015-Q1,Quebec,QC,Central,Province/Territory,Business sector industries [T004],Temporary closures,4169.0,,1
2015-01,2015,1,Q1,2015-Q1,Quebec,QC,Central,Province/Territory,Business sector industries [T004],Exits,2322.0,,1
2015-01,2015,1,Q1,2015-Q1,Ontario,ON,Central,Province/Territory,Business sector industries [T004],Active businesses,322119.0,,1
2015-01,2015,1,Q1,2015-Q1,Ontario,ON,Central,Province/Territory,Business sector industries [T004],Opening businesses,16520.0,,1
2015-01,2015,1,Q1,2015-Q1,Ontario,ON,Central,Province/Territory,Business sector industries [T004],Continuing businesses,302260.0,,1
2015-01,2015,1,Q1,2015-Q1,Ontario,ON,Central,Province/Territory,Business sector industries [T004],Closing businesses,13419.0,,1
2015-01,2015,1,Q1,2015-Q1,Ontario,ON,Central,Province/Territory,Business sector industries [T004],Reopening businesses,9392.0,,1
2015-01,2015,1,Q1,2015-Q1,Ontario,ON,Central,Province/Territory,Business sector industries [T004],Entrants,7128.0,,1
2015-01,2015,1,Q1,2015-Q1,Ontario,ON,Central,Province/Territory,Business sector industries [T004],Temporary closures,8552.0,,1
2015-01,2015,1,Q1,2015-Q1,Ontario,ON,Central,Province/Territory,Business sector industries [T004],Exits,4867.0,,1
2015-01,2015,1,Q1,2015-Q1,Manitoba,MB,Prairies,Province/Territory,Business sector industries [T004],Active businesses,26713.0,,1
2015-01,2015,1,Q1,2015-Q1,Manitoba,MB,Prairies,Province/Territory,Business sector industries [T004],Opening businesses,1170.0,,1
2015-01,2015,1,Q1,2015-Q1,Manitoba,MB,Prairies,Province/Territory,Business sector industries [T004],Continuing businesses,25467.0,,1
2015-01,2015,1,Q1,2015-Q1,Manitoba,MB,Prairies,Province/Territory,Business sector industries [T004],Closing businesses,1033.0,,1
2015-01,2015,1,Q1,2015-Q1,Manitoba,MB,Prairies,Province/Territory,Business sector industries [T004],Reopening businesses,663.0,,1
2015-01,2015,1,Q1,2015-Q1,Manitoba,MB,Prairies,Province/Territory,Business sector industries [T004],Entrants,507.0,,1
2015-01,2015,1,Q1,2015-Q1,Manitoba,MB,Prairies,Province/Territory,Business sector industries [T004],Temporary closures,657.0,,1
2015-01,2015,1,Q1,2015-Q1,Manitoba,MB,Prairies,Province/Territory,Business sector industries [T004],Exits,376.0,,1
2015-01,2015,1,Q1,2015-Q1,Saskatchewan,SK,Prairies,Province/Territory,Business sector industries [T004],Active businesses,25786.0,,1
2015-01,2015,1,Q1,2015-Q1,Saskatchewan,SK,Prairies,Province/Territory,Business sector industries [T004],Opening businesses,1234.0,,1
2015-01,2015,1,Q1,2015-Q1,Saskatchewan,SK,Prairies,Province/Territory,Business sector industries [T004],Continuing businesses,24468.0,,1
2015-01,2015,1,Q1,2015-Q1,Saskatchewan,SK,Prairies,Province/Territory,Business sector industries [T004],Closing businesses,1154.0,,1
2015-01,2015,1,Q1,2015-Q1,Saskatchewan,SK,Prairies,Province/Territory,Business sector industries [T004],Reopening businesses,712.0,,1
2015-01,2015,1,Q1,2015-Q1,Saskatchewan,SK,Prairies,Province/Territory,Business sector industries [T004],Entrants,522.0,,1
2015-01,2015,1,Q1,2015-Q1,Saskatchewan,SK,Prairies,Province/Territory,Business sector industries [T004],Temporary closures,698.0,,1
2015-01,2015,1,Q1,2015-Q1,Saskatchewan,SK,Prairies,Province/Territory,Business sector industries [T004],Exits,456.0,,1
2015-01,2015,1,Q1,2015-Q1,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],Active businesses,126861.0,,1
2015-01,2015,1,Q1,2015-Q1,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],Opening businesses,6977.0,,1
2015-01,2015,1,Q1,2015-Q1,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],Continuing businesses,119386.0,,1
2015-01,2015,1,Q1,2015-Q1,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],Closing businesses,5661.0,,1
2015-01,2015,1,Q1,2015-Q1,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],Reopening businesses,4085.0,,1
2015-01,2015,1,Q1,2015-Q1,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],Entrants,2892.0,,1
