month,year,month_num,quarter_label,year_quarter,region,region_abbr,region_group,geo_level,industry,active_businesses,opening_businesses,continuing_businesses,closing_businesses,reopening_businesses,entrants,temporary_closures,exits,net_openings,gross_churn,closure_to_opening_ratio,entrant_share_of_openings,reopening_share_of_openings,exit_share_of_closings,temporary_closure_share_of_closings,formula_check_opening_eq_entrants_plus_reopening,formula_check_closing_eq_exits_plus_tempclosures,suppressed_measure_count,complete_row_all_8_measures
2015-01,2015,1,Q1,2015-Q1,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],126861.0,6977.0,119386.0,5661.0,4085.0,2892.0,3408.0,2253.0,1316.0,12638.0,0.8113802493908556,0.41450480149061203,0.585495198509388,0.3979862215156333,0.6020137784843668,1,1,0,1
2015-02,2015,2,Q1,2015-Q1,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],126907.0,6891.0,119572.0,6335.0,4135.0,2756.0,4025.0,2310.0,556.0,13226.0,0.9193150486141344,0.39994195327238424,0.6000580467276158,0.36464088397790057,0.6353591160220995,1,1,0,1
2015-03,2015,3,Q1,2015-Q1,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],127077.0,6393.0,120886.0,6066.0,3802.0,2591.0,3741.0,2325.0,327.0,12459.0,0.9488503050211169,0.4052870326920069,0.5947129673079932,0.38328387734915925,0.6167161226508407,1,1,0,1
2015-04,2015,4,Q2,2015-Q2,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],126959.0,6477.0,120422.0,6574.0,3804.0,2673.0,4029.0,2545.0,-97.0,13051.0,1.0149760691678247,0.412691060676239,0.587308939323761,0.38713112260419835,0.6128688773958016,1,1,0,1
2015-05,2015,5,Q2,2015-Q2,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],127128.0,6469.0,120635.0,6207.0,3952.0,2517.0,3731.0,2476.0,262.0,12676.0,0.9594991497913125,0.38908641211933837,0.6109135878806616,0.3989044627033994,0.6010955372966006,1,1,0,1
2015-06,2015,6,Q2,2015-Q2,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],126517.0,5705.0,120456.0,6431.0,3723.0,1982.0,3956.0,2475.0,-726.0,12136.0,1.1272567922874672,0.34741454864154253,0.6525854513584575,0.38485461048048514,0.6151453895195148,1,1,0,1
2015-07,2015,7,Q3,2015-Q3,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],126217.0,6445.0,119819.0,6412.0,3679.0,2766.0,3830.0,2582.0,33.0,12857.0,0.9948797517455392,0.4291698991466253,0.5708301008533747,0.4026824703680599,0.5973175296319401,1,1,0,1
2015-08,2015,8,Q3,2015-Q3,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],126222.0,6394.0,119910.0,6310.0,3957.0,2437.0,3774.0,2536.0,84.0,12704.0,0.9868626837660307,0.381138567406944,0.618861432593056,0.4019017432646593,0.5980982567353408,1,1,0,1
2015-09,2015,9,Q3,2015-Q3,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],125696.0,5861.0,119840.0,6518.0,3730.0,2131.0,3987.0,2531.0,-657.0,12379.0,1.112096911789797,0.3635898310868452,0.6364101689131547,0.3883092973304695,0.6116907026695305,1,1,0,1
2015-10,2015,10,Q4,2015-Q4,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],125234.0,6449.0,118979.0,6738.0,3842.0,2607.0,4137.0,2601.0,-289.0,13187.0,1.0448131493254769,0.40424872073189644,0.5957512792681036,0.38601959038290296,0.6139804096170971,1,1,0,1
